[2026-02-23 12:31:47] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '23'), ('type', 'intra')])
[2026-02-23 13:44:37] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '23'), ('type', '')])
[2026-02-23 14:04:12] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '23'), ('type', 'intra')])
[2026-02-23 16:41:57] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '23'), ('type', 'intra')])
[2026-02-23 16:59:14] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '23'), ('type', 'intra')])
[2026-02-23 18:15:47] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '23'), ('type', 'intra')])
[2026-02-23 18:23:08] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '24'), ('type', 'intra')])
[2026-02-23 18:23:58] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '24'), ('type', 'intra')])
[2026-02-23 19:07:33] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '23'), ('type', 'intra')])
