[2026-02-25 11:37:11] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', 'intra')])
[2026-02-25 11:40:30] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', 'intra')])
[2026-02-25 13:03:36] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', 'inter')])
[2026-02-25 13:03:50] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', 'intra')])
[2026-02-25 14:25:23] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', '')])
[2026-02-25 14:28:31] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', '')])
[2026-02-25 14:28:56] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', 'intra')])
[2026-02-25 14:52:19] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', '')])
[2026-02-25 14:53:43] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', 'intra')])
[2026-02-25 14:53:53] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', '')])
[2026-02-25 14:54:37] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', 'intra')])
[2026-02-25 14:54:51] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', '')])
[2026-02-25 15:03:17] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', 'intra')])
[2026-02-25 15:06:00] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '25'), ('type', 'intra')])
