[2026-02-26 11:31:51] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '26'), ('type', 'intra')])
[2026-02-26 11:34:25] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '26'), ('type', 'intra')])
[2026-02-26 12:36:48] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '26'), ('type', 'intra')])
[2026-02-26 13:48:21] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '26'), ('type', 'intra')])
[2026-02-26 16:02:00] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '26'), ('type', 'intra')])
[2026-02-26 16:55:14] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '26'), ('type', 'intra')])
[2026-02-26 17:53:32] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '26'), ('type', 'intra')])
[2026-02-26 21:54:09] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '26'), ('type', 'intra')])
[2026-02-26 21:59:19] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '26'), ('type', 'intra')])
